Ticker,Company,Market Cap,Overall Rating,Sector,Industry,Country,Valuation Grade,Profitability Grade,Growth Grade,Performance Grade,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,Dividend,Payout Ratio,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,EPS Q/Q,Sales Q/Q,Insider Own,Insider Trans,Inst Own,Inst Trans,Short Ratio,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility M,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Earnings,Price,Target Price,Percent Diff
AAL,American Airlines Group Inc.,10.50B,76.26,Industrials,Airlines,USA,A,C-,B,B,5.71,-,0.21,-,1.17,5.79,-,0.00%,106.30%,43.64%,-46.10%,-,2.80%,183.40%,39.90%,0.10%,-12.99%,55.50%,1.49%,2.82,0.20%,-1.60%,5.20%,0.7,0.6,-,-,57.90%,3.30%,0.30%,-1.98%,13.37%,25.94%,-0.06%,28.62%,2.70%,0.01%,6.12%,13.20%,-23.62%,40.41%,55.16,Jan 26/b,16.36,16.57,1.283618582
AAME,Atlantic American Corporation,50.31M,57.72,Financial,Insurance - Life,USA,A,C-,C-,D+,-,-,0.26,0.5,2.3,6.06,0.84%,15.80%,-67.00%,-,11.70%,-,3.70%,22.70%,-6.10%,3.10%,0.00%,5.60%,1.20%,11.65,0.70%,2.30%,3.20%,-,-,0.35,0.35,-,3.00%,1.40%,-4.78%,-15.40%,-18.43%,-9.47%,2.09%,5.06%,-2.54%,-3.28%,-14.18%,-36.94%,13.80%,45.03,-,2.39,-,
AAN,"The Aaron's Company, Inc.",380.84M,61.26,Industrials,Rental & Leasing Services,USA,A,D+,C+,C-,8.52,-,0.18,0.57,13.75,7.79,3.91%,-,-105.20%,63.40%,-15.30%,-10.10%,4.80%,-137.70%,32.60%,3.15%,0.00%,94.40%,-7.57%,6.83,-0.30%,-0.70%,0.70%,-,-,0.31,0.35,54.80%,-0.10%,-0.30%,-14.17%,4.84%,7.39%,-39.29%,6.95%,4.04%,-12.43%,-6.71%,-4.35%,-45.92%,67.17%,35.73,Mar 01/a,12.78,13.25,3.677621283
AAOI,"Applied Optoelectronics, Inc.",77.89M,68.88,Technology,Semiconductors,USA,A+,D+,C+,B-,-,-,0.35,0.42,3.15,-,-,-,-18.50%,95.70%,-21.90%,13.00%,-10.20%,-33.40%,13.20%,8.30%,-3.05%,33.70%,-3.32%,18.12,-15.60%,-31.50%,-17.70%,1.3,0.7,0.43,0.81,15.10%,-26.50%,-29.80%,5.00%,24.09%,13.28%,-26.22%,44.44%,6.88%,0.09%,14.77%,17.96%,-31.75%,84.46%,53.58,Feb 23/a,2.73,5.25,92.30769231
AAON,"AAON, Inc.",4.89B,72.66,Industrials,Building Products & Equipment,USA,C-,B-,B,A-,29.88,4.22,5.5,8.9,888.31,-,0.51%,22.70%,69.70%,20.33%,14.50%,12.00%,17.00%,520.70%,86.80%,0.40%,-31.68%,71.90%,-0.32%,2.87,13.00%,19.50%,16.10%,2.4,1,0.14,0.14,26.70%,14.30%,11.30%,20.78%,18.50%,63.40%,69.47%,24.69%,3.21%,16.55%,21.44%,44.74%,-0.51%,97.73%,78.81,Feb 27/a,93.92,94,0.085178876
AAP,"Advance Auto Parts, Inc.",8.25B,55.74,Consumer Cyclical,Specialty Retail,USA,B,C+,D+,C-,11.64,2.86,0.74,3.07,30.64,-,4.33%,54.10%,-13.50%,6.27%,13.10%,5.85%,3.50%,37.80%,3.20%,0.20%,0.00%,98.37%,-3.50%,3.09,4.20%,18.10%,13.80%,1.1,0.2,0.44,0.51,44.50%,6.30%,4.50%,-11.71%,-8.29%,-17.88%,-33.76%,-5.82%,2.35%,-6.11%,-6.42%,-18.29%,-40.16%,1.08%,35.97,Feb 28/b,138.48,153.42,10.78856153
AAPD,Direxion Daily AAPL Bear 1X Shares,-,57.54,Financial,Exchange Traded Fund,USA,A+,D+,D+,C-,-,-,-,-,-,-,1.95%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-4.07%,-2.97%,-0.66%,-,-14.26%,1.98%,-0.40%,-7.24%,-4.89%,-17.95%,10.79%,42.29,-,25.92,-,
AAPL,Apple Inc.,2308.58B,68.76,Technology,Consumer Electronics,USA,B,A-,D+,B-,22.92,3.15,5.96,42.31,44.95,27.94,0.61%,15.40%,8.90%,10.41%,21.60%,8.13%,11.50%,-10.30%,-5.50%,0.07%,-4.73%,60.10%,-0.48%,1.42,27.50%,163.50%,58.30%,0.9,0.9,1.76,1.96,43.10%,29.40%,24.60%,3.85%,2.03%,-3.94%,-9.32%,16.24%,2.11%,0.21%,7.04%,2.62%,-15.91%,21.63%,56.98,Feb 02/a,151.03,168.34,11.46129908
AAPU,Direxion Daily AAPL Bull 1.5X Shares,-,66.09,Financial,Exchange Traded Fund,USA,A+,D+,D+,B,-,-,-,-,-,-,2.34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.37%,0.19%,-11.01%,-,23.84%,2.95%,0.03%,9.79%,0.12%,-25.18%,32.60%,56.08,-,20.62,-,
AAT,"American Assets Trust, Inc.",1.51B,53.13,Real Estate,REIT - Diversified,USA,C+,C,C,C,28.87,11.42,3.58,1.22,30.48,42.35,5.32%,176.70%,53.20%,14.67%,3.10%,3.00%,6.10%,18.20%,4.20%,1.10%,41.76%,95.00%,-1.80%,4.6,1.40%,3.50%,4.00%,-,-,1.35,1.35,63.90%,27.20%,10.30%,-14.29%,-15.23%,-10.55%,-32.95%,-6.30%,2.25%,-6.36%,-7.52%,-12.06%,-36.50%,3.44%,28.92,Feb 07/a,24.83,32.5,30.89005236
AAU,Almaden Minerals Ltd.,28.11M,54.06,Basic Materials,Gold,Canada,A+,D,C+,D-,-,-,-,0.49,-,-,-,-,25.30%,-100.00%,16.40%,-,-,89.90%,-,7.20%,0.00%,5.90%,0.94%,0.65,-2.00%,-2.10%,-,27,27,0.05,0.05,-,-,-,-12.25%,-14.96%,-13.22%,-34.58%,-16.46%,5.09%,-6.91%,-12.92%,-13.54%,-58.35%,3.66%,31.78,-,0.2,-,
AAWW,"Atlas Air Worldwide Holdings, Inc.",2.87B,63.24,Industrials,Airports & Air Services,USA,B+,B-,D+,C,15.01,0.95,0.63,0.93,3.76,3.91,-,0.00%,-34.80%,-52.10%,23.60%,10.00%,16.10%,-33.40%,3.80%,0.20%,0.00%,-,2.75%,7.12,5.60%,12.20%,7.80%,1,1,0.61,0.75,53.50%,11.50%,7.80%,-2.34%,-0.94%,-0.10%,23.48%,-0.97%,0.37%,-1.95%,-1.74%,9.29%,-2.40%,70.05%,15.35,Feb 23/b,99.82,98.5,-1.322380285
AAXJ,iShares MSCI All Country Asia ex Japan ETF,-,57.91,Financial,Exchange Traded Fund,USA,A+,D+,D+,C-,-,-,-,-,-,-,1.47%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-5.82%,1.71%,1.31%,-12.90%,4.71%,0.99%,-0.68%,-1.11%,2.70%,-12.88%,24.73%,48.26,-,67.84,-,
AB,AllianceBernstein Holding L.P.,4.33B,64.42,Financial,Asset Management,USA,C+,A-,C-,C+,12.41,-,14.16,2.05,-,2703.48,10.84%,130.90%,-30.50%,12.54%,1.90%,-7.23%,5.60%,-53.80%,-46.40%,0.60%,-11.00%,11.60%,2.74%,1.77,15.40%,16.40%,13.20%,-,-,0,0,-,100.00%,89.70%,1.37%,-3.07%,-9.22%,-12.72%,13.79%,2.65%,-1.35%,3.18%,-1.56%,-20.91%,24.91%,50.39,Feb 08/a,39.11,41.9,7.13372539
ABB,ABB Ltd,65.82B,57.72,Industrials,Electrical Equipment & Parts,Switzerland,C,C+,C-,B-,19.08,1.77,2.24,4.99,13.03,-,2.69%,67.00%,-42.50%,16.20%,15.70%,14.60%,3.20%,-54.90%,3.40%,-,-,6.20%,-0.63%,1.76,6.20%,19.80%,12.60%,1.2,0.8,0.4,0.6,33.00%,11.30%,8.40%,-3.31%,8.48%,28.31%,6.01%,12.15%,1.33%,1.17%,3.25%,16.88%,-3.88%,40.75%,55.81,Feb 02/b,34.16,37.36,9.367681499
ABBV,AbbVie Inc.,273.16B,78.12,Healthcare,Drug Manufacturers - General,USA,B+,A-,C-,B,14.06,-,4.71,16.02,29.6,19.23,3.79%,84.80%,2.70%,-0.27%,13.30%,-2.50%,15.50%,-38.80%,1.60%,0.12%,-10.36%,70.90%,0.10%,2.06,8.30%,73.40%,20.50%,1,0.8,3.43,3.67,71.50%,31.20%,20.30%,6.45%,-3.18%,16.06%,4.34%,-3.43%,1.72%,3.73%,1.50%,4.72%,-11.28%,16.38%,61.26,Feb 09/b,156.06,163.22,4.587978982
ABC,AmerisourceBergen Corporation,31.33B,73.1,Healthcare,Medical Distribution,USA,A-,B,C,B-,12.4,2.57,0.13,-,-,18.82,1.24%,22.40%,8.90%,8.23%,37.40%,7.38%,9.30%,9.30%,5.40%,0.20%,-97.97%,72.40%,0.01%,2.15,3.00%,-,34.50%,0.9,0.5,-,-,3.50%,1.00%,0.70%,-3.04%,-8.52%,6.54%,9.20%,-5.77%,1.97%,-1.10%,-3.79%,2.46%,-10.58%,15.55%,42.21,Feb 01/b,156.15,185,18.47582453
ABCB,Ameris Bancorp,3.26B,65.72,Financial,Banks - Regional,USA,B+,B,C,C,9.01,1.18,3.64,1.02,2.65,3.23,1.27%,12.00%,-7.60%,1.16%,16.30%,8.00%,24.90%,0.80%,53.40%,3.20%,-0.58%,91.70%,0.45%,5.42,1.40%,11.20%,17.30%,-,-,0.16,0.16,-,83.70%,38.80%,-1.77%,-10.91%,0.92%,-3.42%,-0.06%,2.29%,-2.92%,-1.55%,-0.07%,-13.15%,23.26%,43.44,Jan 26/a,47.11,55.3,17.38484398
ABCL,AbCellera Biologics Inc.,2.35B,68.76,Healthcare,Biotechnology,Canada,A-,A-,C-,D+,-,1.69,4.85,1.94,6.09,11.38,-,0.00%,4.40%,-8.50%,-,10.00%,-,-152.80%,-84.60%,19.70%,0.15%,46.90%,11.68%,10.92,10.10%,12.90%,11.00%,8.7,8.7,0,0,-,44.60%,32.70%,-22.12%,-34.89%,-21.54%,-11.13%,-17.28%,4.78%,-12.03%,-15.15%,-20.56%,-44.02%,54.61%,31.83,Feb 21/a,8.38,27.6,229.3556086
ABCM,Abcam plc,3.47B,70.12,Healthcare,Biotechnology,United Kingdom,C+,B,B-,B-,-,1127.47,8.3,4.05,26.53,82.88,-,0.00%,27.40%,-,-,0.39%,-,138.80%,52.10%,0.01%,0.00%,14.40%,13.56%,0.56,0.70%,1.00%,2.40%,1.3,1,0.13,0.32,72.70%,1.60%,1.90%,5.56%,-4.05%,3.15%,-7.90%,-1.09%,3.74%,4.51%,-0.22%,1.38%,-20.63%,22.73%,55.78,-,15.39,18.78,22.02729045
ABEO,Abeona Therapeutics Inc.,41.59M,65.97,Healthcare,Biotechnology,USA,A,C,C+,C-,-,-,9.67,1.05,2.3,-,-,-,5.10%,-51.20%,-6.20%,-,27.50%,17.80%,-,3.30%,2.82%,7.10%,44.60%,1.87,-163.20%,-301.00%,-171.40%,2,2,0,0,-,-,-,-4.53%,-32.71%,-30.49%,-64.99%,-17.86%,5.41%,3.31%,-2.66%,-31.60%,-72.96%,15.53%,53.09,-,2.53,29,1046.245059
ABEQ,Absolute Select Value ETF,-,61.75,Financial,Exchange Traded Fund,USA,A+,D+,D+,C+,-,-,-,-,-,-,1.19%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2.89%,-1.57%,6.16%,-2.53%,0.91%,0.54%,-0.47%,-0.97%,2.29%,-9.42%,12.95%,46.59,-,28.08,-,
ABEV,Ambev S.A.,39.76B,60.45,Consumer Defensive,Beverages - Brewers,Brazil,C-,A-,C,C-,19.38,1.53,2.59,2.52,13.44,110.77,9.96%,429.40%,14.20%,0.00%,14.70%,9.40%,10.70%,37.80%,3.10%,-,-,18.10%,2.18%,0.7,10.60%,17.10%,23.20%,0.9,0.6,0.03,0.05,49.30%,24.20%,18.10%,-2.70%,-17.38%,-13.10%,-11.58%,-7.35%,2.31%,-0.04%,-3.92%,-9.76%,-23.98%,5.00%,44.23,-,2.52,3.5,38.88888889
ABG,"Asbury Automotive Group, Inc.",5.15B,83.45,Consumer Cyclical,Auto & Truck Dealerships,USA,A,C+,B,A-,7.53,0.29,0.33,1.83,21.4,7.54,-,0.00%,68.10%,1.25%,44.80%,18.50%,19.00%,145.80%,39.60%,0.10%,-58.25%,-,1.33%,9.82,12.70%,39.30%,18.20%,1.8,0.9,1.11,1.15,20.10%,9.60%,6.50%,2.75%,26.86%,36.42%,18.49%,32.79%,3.46%,2.39%,16.29%,32.96%,-6.17%,71.39%,62.96,Feb 02/b,238.02,254.67,6.995210487
ABGI,ABG Acquisition Corp. I,158.62M,66.4,Financial,Shell Companies,USA,A+,D+,D+,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.14,-,-,-,-,-,-,-,-,-,-,0.99%,2.41%,3.87%,3.98%,0.99%,0.19%,0.32%,0.95%,2.90%,-2.21%,4.75%,74.58,-,10.19,-,
ABIO,"ARCA biopharma, Inc.",31.60M,76.82,Healthcare,Biotechnology,USA,A,C+,B-,B-,-,-,-,0.75,0.75,-,-,-,50.40%,-,53.60%,-,-,79.30%,-,18.50%,0.00%,38.60%,11.23%,6.22,-21.20%,-22.40%,-,37.7,37.7,0,0,-,-,-,-1.37%,3.35%,-7.69%,6.93%,-8.86%,3.48%,0.98%,-4.69%,-4.58%,-20.00%,22.41%,48.07,-,2.16,-,
ABM,ABM Industries Incorporated,3.20B,64.11,Industrials,Specialty Business Services,USA,B,C-,C+,C+,12.33,5.15,0.41,1.89,43.9,-,1.80%,22.60%,83.80%,12.53%,20.60%,2.78%,7.40%,45.90%,18.60%,1.10%,-1.08%,97.50%,-3.13%,5.36,5.00%,13.70%,9.00%,1.2,1.2,0.63,0.74,13.40%,4.50%,3.00%,3.37%,3.48%,5.22%,7.06%,9.91%,1.85%,1.25%,5.01%,9.40%,-9.59%,29.56%,60.74,Mar 08/b,48.82,58,18.80376895
ABNB,"Airbnb, Inc.",77.26B,80.91,Consumer Cyclical,Travel Services,USA,C+,A,B,B,31.63,-,9.2,14.37,8.03,22.69,-,0.00%,588.10%,20.09%,91.50%,-,26.80%,455.40%,24.10%,3.20%,-21.44%,64.30%,-1.23%,3.16,11.10%,35.90%,22.60%,1.9,1.9,0.36,0.36,69.80%,21.50%,22.50%,10.30%,23.10%,11.15%,-20.19%,47.05%,4.29%,2.43%,18.17%,17.03%,-29.80%,53.50%,58.36,Feb 14/a,125.73,138.16,9.886264217
ABOS,"Acumen Pharmaceuticals, Inc.",209.51M,64.85,Healthcare,Biotechnology,USA,A,C+,C-,C-,-,-,-,1.08,1.05,-,-,-,-1.00%,-25.50%,-,9.70%,-,-159.30%,-,15.57%,0.00%,77.20%,6.43%,7.38,-17.70%,-18.20%,-,30.6,30.6,0,0,-,-,-,-21.35%,-7.92%,-8.08%,-10.60%,-3.15%,6.05%,-5.44%,-6.50%,-8.22%,-52.32%,73.18%,42.31,-,5.23,15.83,202.6768642
ABR,"Arbor Realty Trust, Inc.",2.69B,72.91,Real Estate,REIT - Mortgage,USA,B+,C+,C+,B+,7.96,1.32,2.29,1.14,5.04,3.46,10.62%,89.50%,-29.70%,2.32%,6.50%,8.00%,27.70%,-34.10%,63.20%,0.80%,0.65%,44.20%,0.03%,6.12,1.70%,13.20%,2.10%,-,-,5.89,5.89,52.60%,30.30%,24.20%,-0.59%,1.28%,0.60%,-16.56%,14.25%,2.43%,0.04%,4.42%,4.69%,-15.86%,35.03%,53.68,Feb 17/b,15.07,17.12,13.60318514
ABSI,Absci Corporation,199.60M,65.84,Healthcare,Biotechnology,USA,A,C+,C+,C-,-,-,35.64,0.68,1.1,-,-,-,-279.60%,9.40%,-,17.00%,-,8.20%,60.00%,0.70%,0.00%,48.10%,3.93%,8.64,-29.00%,-33.60%,-17.50%,6.7,6.7,0.03,0.04,-,-,-,-32.51%,-12.80%,-35.31%,-76.96%,3.81%,9.76%,-18.24%,-17.53%,-31.05%,-77.48%,12.37%,37.75,-,2.18,12,450.4587156
ABST,Absolute Software Corporation,608.13M,67.83,Technology,Software - Application,Canada,A,C+,C+,C-,-,-,2.08,-,8.97,16.53,3.73%,-,-750.10%,850.00%,-30.90%,-,16.70%,-30.50%,16.50%,0.11%,0.00%,80.43%,-,16.81,-5.20%,-,-1.20%,0.6,0.6,-,-,81.50%,-2.90%,-13.10%,-27.92%,-11.56%,-20.65%,-6.64%,-17.91%,3.28%,-15.26%,-19.36%,-15.62%,-31.90%,26.22%,23.9,Feb 14/a,8.57,-,
ABT,Abbott Laboratories,178.37B,66.84,Healthcare,Medical Devices,USA,B-,B+,C-,C+,21.55,3.21,4.09,4.96,17.54,39.68,1.95%,35.70%,-0.60%,10.03%,30.50%,8.30%,9.80%,-47.20%,-12.00%,0.40%,-1.48%,76.20%,0.27%,2.8,9.40%,19.20%,13.00%,1.6,1.2,0.4,0.46,56.10%,19.20%,15.90%,-6.59%,-2.91%,1.75%,-13.22%,-4.86%,1.89%,-1.62%,-4.10%,-2.23%,-16.01%,12.01%,45.4,Jan 25/b,104.45,123.5,18.23839157
ABUS,Arbutus Biopharma Corporation,439.70M,74.71,Healthcare,Biotechnology,USA,A-,C+,C+,B+,-,-,12.21,3.25,2.99,-,-,-,44.70%,-26.70%,24.40%,-,29.50%,14.10%,93.80%,26.66%,0.00%,30.00%,5.36%,4.37,-32.60%,-46.20%,-51.10%,4.6,4.6,0,0,-,-,-,-1.38%,21.70%,28.83%,-7.44%,22.75%,4.20%,3.16%,6.91%,15.52%,-11.18%,54.59%,58.04,Mar 02/b,2.86,5.67,98.25174825
ABVC,"ABVC BioPharma, Inc.",21.50M,64.98,Healthcare,Biotechnology,USA,B+,B+,C-,D+,-,-,71.66,3.89,15.35,-,-,-,-3.20%,46.20%,-8.30%,-,-,-69.20%,-57.30%,40.03%,0.00%,2.00%,-59.76%,0.13,-,-,-120.50%,0.7,0.7,0,0.32,93.10%,-,-,-3.45%,-5.24%,-30.69%,-72.11%,12.00%,7.47%,-0.97%,-5.44%,-22.85%,-77.64%,40.00%,47.83,-,0.7,2.02,188.5714286
AC,"Associated Capital Group, Inc.",799.26M,54.31,Financial,Capital Markets,USA,B-,D+,C+,D+,-,-,52.58,0.93,2.77,23.79,0.54%,-,207.80%,-,45.80%,-,-7.70%,44.90%,23.80%,1.74%,3.40%,72.40%,-0.10%,5.03,-3.10%,-3.90%,-3.90%,-,-,0,0,-,-51.60%,-,-4.29%,-8.48%,-6.40%,-6.28%,-11.84%,2.31%,1.05%,-3.13%,-5.24%,-16.81%,9.88%,50.26,-,37.02,-,
ACA,"Arcosa, Inc.",2.98B,62.31,Industrials,Infrastructure Operations,USA,C,C+,B-,C+,25.02,2.98,1.33,1.36,18.58,112.47,0.32%,3.90%,254.50%,17.99%,24.10%,4.10%,8.90%,1580.40%,-4.10%,0.90%,-4.28%,91.90%,-1.05%,2.75,7.40%,12.00%,10.20%,2.3,1.5,0.25,0.25,18.90%,15.60%,10.90%,4.48%,0.72%,5.29%,12.88%,13.25%,2.95%,3.85%,7.50%,9.12%,-6.47%,41.41%,59.36,Feb 23/a,61.54,73,18.62203445
ACAD,ACADIA Pharmaceuticals Inc.,3.29B,76.38,Healthcare,Biotechnology,USA,B+,C+,B-,B+,312.92,-,6.36,8.23,7.9,-,-,-,-27.70%,110.90%,5.80%,25.00%,32.90%,2.60%,4.40%,0.10%,-15.44%,94.90%,0.93%,6.31,-35.60%,-50.60%,-56.50%,4,4,0,0,98.00%,-43.20%,-41.80%,7.45%,30.55%,23.80%,-18.87%,27.76%,3.42%,4.37%,11.81%,22.81%,-27.50%,66.18%,61.24,Feb 27/a,20.34,20.18,-0.786627335
ACB,Aurora Cannabis Inc.,385.21M,64.36,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,A,C,C+,D+,-,-,1.82,0.5,1.49,-,-,-,-95.30%,39.30%,-,-,65.10%,46.90%,1.80%,0.06%,0.00%,18.01%,-,3.52,-144.20%,-243.90%,-183.60%,4.1,3.2,0.35,0.4,-56.90%,-,-,-21.94%,-33.01%,-46.83%,-76.88%,-7.78%,5.35%,-8.25%,-9.56%,-36.29%,-81.34%,5.58%,39.89,Feb 09/a,0.85,-,
ACCD,"Accolade, Inc.",900.41M,75.33,Healthcare,Health Information Services,USA,A,C-,C+,B+,-,-,2.52,1.95,-,-,-,-,-11.90%,69.10%,-,-0.90%,-,-277.80%,8.90%,0.90%,-0.61%,82.70%,1.74%,4.34,-45.50%,-77.90%,-10.60%,3.1,3.1,0.58,0.58,46.50%,-,-,12.33%,50.62%,30.65%,-18.85%,70.73%,6.39%,12.01%,31.27%,37.04%,-31.41%,188.50%,66.95,Jan 09/a,13.3,13.19,-0.827067669
ACCO,ACCO Brands Corporation,530.17M,53.26,Industrials,Business Equipment & Supplies,USA,A,D,D+,C-,4.17,-,0.27,0.67,8.52,16.31,5.25%,-,-113.20%,25.11%,-16.50%,10.00%,0.00%,-63.70%,-12.40%,1.30%,1.68%,83.70%,-4.84%,3.48,-0.40%,-1.60%,0.40%,1.5,0.8,1.16,1.23,28.40%,1.80%,-0.70%,-11.47%,2.51%,-3.71%,-33.06%,2.15%,3.33%,-3.77%,-3.58%,-5.13%,-34.93%,33.72%,45.97,Feb 23/a,5.71,9.75,70.7530648
ACDC,ProFrac Holding Corp.,3.21B,53.57,Energy,Oil & Gas Equipment & Services,USA,B+,D,C+,D+,3.72,-,1.71,-,49.66,486.81,-,0.00%,63.90%,92.23%,-,-,-,191.20%,33.90%,2.00%,0.00%,30.70%,1.88%,5.6,4.10%,-12.20%,-3.90%,1.5,1.1,-,-,39.20%,15.60%,3.10%,-3.66%,-9.58%,8.28%,-,-15.40%,5.11%,4.37%,-3.38%,5.04%,-21.04%,61.76%,53.44,-,21.32,32.83,53.98686679
